Время: [06-03-2026 23:33:59] Пользователь: ('Valentin', None), Сумма: 4894.0 BYN, Получил: 1658.9830508474574 USD
Время: [06-03-2026 23:37:12] Пользователь: ('Valentin', None), Сумма: 888.0 BYN, Получил: 301.01694915254234 USD
Время: [06-03-2026 23:37:30] Пользователь: ('Валентин', None), Сумма: 85.0 BYN, Получил: 28.813559322033896 USD
Время: [06-03-2026 23:41:47] Пользователь: ('Valentin', None), Сумма: 153.0 BYN, Получил: 51.86440677966102 USD
Время: [06-03-2026 23:42:03] Пользователь: ('Valentin', None), Сумма: 888.0 BYN, Получил: 301.01694915254234 USD
Время: [06-03-2026 23:43:25] Пользователь: ('Валентин', None), Сумма: 678.0 BYN, Получил: 229.83050847457625 USD
Время: [06-03-2026 23:48:33] Пользователь: ('Валентин', None), Сумма: 123.0 BYN, Получил: 41.69491525423729 USD
Время: [06-03-2026 23:50:26] Пользователь: ('Rosetta', 'Blackari'), Сумма: 356.0 BYN, Получил: 120.6779661016949 USD
Время: [06-03-2026 23:53:02] Пользователь: ('Valentin', None), Сумма: 898.0 BYN, Получил: 304.4067796610169 USD
Время: [07-03-2026 00:01:15] Пользователь: ('Valentin', None), Сумма: 2949392939499.0 BYN, Получил: 999794216779.322 USD
Время: [07-03-2026 18:08:29] Пользователь: ('Галина', None), Сумма: 65000.0 BYN, Получил: 22033.898305084746 USD
Время: [07-03-2026 18:15:53] Пользователь: ('Иван', None), Сумма: 300.0 BYN, Получил: 101.69491525423729 USD
Время: [07-03-2026 18:16:10] Пользователь: ('Иван', None), Сумма: 295.0 BYN, Получил: 100.0 USD
Время: [07-03-2026 18:24:07] Пользователь: ('Иван', None), Сумма: 500.0 BYN, Получил: 169.4915254237288 USD
Время: [07-03-2026 18:53:57] Пользователь: ('Иван', None), Сумма: 1.0 BYN, Получил: 0.3389830508474576 USD
Время: [07-03-2026 20:11:08] Пользователь: ('Valentin', None), Сумма: 152.0 BYN, Получил: 51.52542372881356 USD
Время: [07-03-2026 21:17:00] Пользователь: ('Valentin', None), Сумма: 316.0 BYN, Получил: 107.11864406779661 USD
Время: [07-03-2026 21:17:35] Пользователь: ('Valentin', None), Сумма: 320.0 BYN, Получил: 108.47457627118644 USD
Время: [07-03-2026 21:19:12] Пользователь: ('Valentin', None), Сумма: 360.0 BYN, Получил: 122.03389830508473 USD
Время: [07-03-2026 21:19:31] Пользователь: ('Valentin', None), Сумма: 330.0 BYN, Получил: 111.86440677966101 USD
Время: [10-03-2026 13:18:23] Пользователь: ('Настя', None), Сумма: 666.0 BYN, Получил: 226.53061224489795 USD
Время: [10-03-2026 13:19:13] Пользователь: ('Настя', None), Сумма: 666.66 BYN, Получил: 226.75510204081633 USD
Время: [10-03-2026 13:20:13] Пользователь: ('Настя', None), Сумма: 0.66 BYN, Получил: 0.22448979591836737 USD
Время: [11-03-2026 11:54:58] Пользователь: ('Valentin', None), Сумма: 150.0 BYN, Получил: 50.93378607809847 USD
Время: [18-03-2026 11:51:48] Пользователь: ('Valentin', None), Сумма: 2.95 BYN, Получил: 0.9833333333333334 USD
Время: [18-03-2026 11:53:59] Пользователь: ('Valentin', None), Сумма: 3.0 BYN, Получил: 1.0 USD
Время: [19-03-2026 15:15:20] Пользователь: ('Valentin', None), Сумма: 3.64 BYN, Получил: 1.004137931034483 USD
